ltv0,ltv1,ltv2
5.706044612,6.150454625,4.989250559
5.736694152,6.183013908,5.023790029
5.763653346,6.211754323,5.058467421
5.788642837,6.240297134,5.087582065
5.815929457,6.268284629,5.11980224
5.838720023,6.293281323,5.151115136
5.86810843,6.325418838,5.187998005
5.889502992,6.350261807,5.23613229
5.915430417,6.378439881,5.269441752
5.93866223,6.405129981,5.306100096
5.961444578,6.429208382,5.342470058
5.989601658,6.459280114,5.374858402
6.012721447,6.483515733,5.406254625
6.039406101,6.509724888,5.439045931
6.060712517,6.53346342,5.469109461
6.085616099,6.560664802,5.499743787
6.11357304,6.589469364,5.528803409
6.141140589,6.616025541,5.55667431
6.164049708,6.639273653,5.587304919
6.185452241,6.660837564,5.613563637
6.208580677,6.68519573,5.651973416
6.232012307,6.70822932,5.695614715
6.254082708,6.730897114,5.72784225
6.273052498,6.749888989,5.761599169
6.293155789,6.770308689,5.794817393
6.307109273,6.785845167,5.824529076
6.324722245,6.804573559,5.852450133
6.342004552,6.822698113,5.882945787
6.359059045,6.841805165,5.913642886
6.375390673,6.859596059,5.940777635
6.390916528,6.876418911,5.964417872
6.407057999,6.89245052,5.989149563
6.424236994,6.909440263,6.011294073
6.441419043,6.927446803,6.034272227
6.457256202,6.944110376,6.060769095
6.4749256,6.961453022,6.095811321
6.491554817,6.978930526,6.124612835
6.508222725,6.996268556,6.152730951
6.522451081,7.010031582,6.179069622
6.536226659,7.02389342,6.206090698
6.54789846,7.03645967,6.228685423
6.558081131,7.049116519,6.255584193
6.567024225,7.05933238,6.282314833
6.582080146,7.07510412,6.306354086
6.595451122,7.089556958,6.330466663
6.608060501,7.101928695,6.353968183
6.618475601,7.112587495,6.376757336
6.630658844,7.125304953,6.397930455
6.640655144,7.136643274,6.422524065
6.65090318,7.148322578,6.45719063
6.664259689,7.162050483,6.481061733
6.673917408,7.173538495,6.506561985
6.683801081,7.183610377,6.531555602
6.695721757,7.195044859,6.552106618
6.707973957,7.207693029,6.573517308
6.71851955,7.219320732,6.595561943
6.726373728,7.229248147,6.618906141
6.738314033,7.241798358,6.639204015
6.750456941,7.255753706,6.656757044
6.760322146,7.26872253,6.676799143
6.769614157,7.279974944,6.695025876
6.780354823,7.29145157,6.711316257
6.788331189,7.300520786,6.733990955
6.798106623,7.311036178,6.766397054
6.811006396,7.325252977,6.788290271
6.818061942,7.333482765,6.810271514
6.82953511,7.346574585,6.830723758
6.837190009,7.356448705,6.851225149
6.84544569,7.365623707,6.871915405
6.853892486,7.374171013,6.895272103
6.861707845,7.381954893,6.92135612
6.870287102,7.39169112,6.939219867
6.879459527,7.400608997,6.958445893
6.890569031,7.411593658,6.978547581
6.901856193,7.42252625,6.993105688
6.909475113,7.430826066,7.012549537
6.919577425,7.440346797,7.031891293
6.927622706,7.448522297,7.053048341
6.937606851,7.458908345,7.069336877
6.950016887,7.470863023,7.087469902
6.957634645,7.478694338,7.105565369
6.965342959,7.486685034,7.122791615
6.975577442,7.496901729,7.141506106
6.981374448,7.502807289,7.158037897
6.990976268,7.513014957,7.175889071
6.999768905,7.52173333,7.193971961
7.006444675,7.529459177,7.211991588
7.018784495,7.541762235,7.228554497
7.028536749,7.552140754,7.245499175
7.036757796,7.560846609,7.261144913
7.043839147,7.568192588,7.277026546
7.05195217,7.577183442,7.296675367
7.059890384,7.58566027,7.313329095
7.068401265,7.594223138,7.333175502
7.07702387,7.603186436,7.353534707
7.085609269,7.612962682,7.37194072
7.092393805,7.619911704,7.387135826
7.100557683,7.629284449,7.40540105
7.107061861,7.63616056,7.426698819
7.113998993,7.643336473,7.44312529
7.122400624,7.65302815,7.458682743
7.13066533,7.661591579,7.475005744
7.136552946,7.668111745,7.490725228
7.146086109,7.677404771,7.506745104
7.155253124,7.687262692,7.523979294
7.163174914,7.695301301,7.547009261
7.172819446,7.704624355,7.564441964
7.179753588,7.711491224,7.579843552
7.187754543,7.719333438,7.597145836
7.193442171,7.725269475,7.610770808
7.20118314,7.732760248,7.623775938
7.208520798,7.739828802,7.637087962
7.21657634,7.748136221,7.65185177
7.222797256,7.75432517,7.664763363
7.230252769,7.761528368,7.6777962
7.234180137,7.766226037,7.690521191
7.241382494,7.772882888,7.704176629
7.249047665,7.780890055,7.718386752
7.257257062,7.788718186,7.73318371
7.261844017,7.794032062,7.751637623
7.268455584,7.801726036,7.766270096
7.272874646,7.806725858,7.78289404
7.2786968,7.813129872,7.798332547
7.285161707,7.819464121,7.811989256
7.292826792,7.8271192,7.826377064
7.298935866,7.833351763,7.843157715
7.305255608,7.840199541,7.862169411
7.308553346,7.844351293,7.878359251
7.312590706,7.849033307,7.89342188
7.322571345,7.858564881,7.907905484
7.330346207,7.866448527,7.922231095
7.337464333,7.873137822,7.935943665
7.343599404,7.879091734,7.953132461
7.34924576,7.885117481,7.975783063
7.355358006,7.891240279,7.992996416
7.363375386,7.89873489,8.009939997
7.370921777,7.906188996,8.025512622
7.375762673,7.911890905,8.040273097
7.381650644,7.919760965,8.053941662
7.388459736,7.926758433,8.065608738
7.396121346,7.934462576,8.07764779
7.401163058,7.94009897,8.088228652
7.405617455,7.944519626,8.099373545
7.41120547,7.950615083,8.110572234
7.416523765,7.956583611,8.122478197
7.420362567,7.961076112,8.134317577
7.426335834,7.96747449,8.147375442
7.432179823,7.973924656,8.160823551
7.436445815,7.978632418,8.175602875
7.445910354,7.988121867,8.187947708
7.45014609,7.993353552,8.199642553
7.455520112,7.999015133,8.210222103
7.461875264,8.005430627,8.219957039
7.467124913,8.011561907,8.234827901
7.471762023,8.017212206,8.249531212
7.477305045,8.023622755,8.261791804
7.484255204,8.030229363,8.274695614
7.488572513,8.035241254,8.287060975
7.494012385,8.04074674,8.299132695
7.498205655,8.045406479,8.310426095
7.50291027,8.050356301,8.328719727
7.50836989,8.05561807,8.349217859
7.517827857,8.064620881,8.364330538
7.523002052,8.069927435,8.378602717
