day,ppl,amount
2019/12/13,6866,8366554
2019/12/14,8604,7084123
2019/12/15,9362,5966579
2019/12/16,7198,6257113
2019/12/17,6829,14928761
2019/12/18,6698,7757825
2019/12/19,6263,7051486
2019/12/20,6999,6662367
2019/12/21,7915,5952345
2019/12/22,8257,5288375
2019/12/23,7263,5566241
2019/12/24,6214,23015136
2019/12/25,8148,12961866
2019/12/26,7801,11579322
2019/12/27,7500,11946090
2019/12/28,7778,13607927
2019/12/29,7878,9970175
2019/12/30,7571,11745799
2019/12/31,6841,20560013
2020/1/1,9705,9262066
2020/1/2,10350,7974297
2020/1/3,10036,7875109
2020/1/4,9519,7648346
2020/1/5,9887,6425400
2020/1/6,8283,6353477
2020/1/7,6591,13762286
2020/1/8,7667,7429977
2020/1/9,7496,6877273
2020/1/10,7492,7091781
2020/1/11,8396,6382451
2020/1/12,8680,5840085
2020/1/13,7269,5919981
2020/1/14,7093,14392146
2020/1/15,7463,8531038
2020/1/16,7282,7097304
2020/1/17,6406,7380470
2020/1/18,8083,6539118
2020/1/19,8075,5161013
2020/1/20,6379,5229691
2020/1/21,5852,17882568
2020/1/22,5486,9593184
2020/1/23,5760,9932991
2020/1/24,6162,10233806
2020/1/25,7410,8633777
2020/1/26,7328,7064745
2020/1/27,5955,8325363
2020/1/28,5989,11908483
2020/1/29,6184,6085252
2020/1/30,5875,10397057
2020/1/31,5756,7393452
2020/2/1,7547,7697123
2020/2/2,7539,6012602
2020/2/3,5853,5671986
2020/2/4,4673,14951663
2020/2/5,5298,8798004
2020/2/6,5326,7854575
2020/2/7,5997,6930820
2020/2/8,7661,6459864
2020/2/9,7807,5459354
2020/2/10,6093,5636477
2020/2/11,5132,19349684
2020/2/12,4998,11560730
2020/2/13,4995,10472584
2020/2/14,4838,9770074
2020/2/15,6249,9929324
2020/2/16,6650,8503129
2020/2/17,5452,8538663
2020/2/18,3616,12019934
2020/2/19,4176,6021109
2020/2/20,4168,5832802
2020/2/21,4499,5810640
2020/2/22,5790,6177315
2020/2/23,5927,5101052
2020/2/24,5065,5178817
2020/2/25,3921,16543189
2020/2/26,3973,9882993
2020/2/27,4030,7910274
2020/2/28,3717,7075417
2020/2/29,4933,10905954
2020/3/1,4727,7452377
2020/3/2,2908,6361063
2020/3/3,2828,14288201
2020/3/4,3403,6916482
2020/3/5,3444,6045138
2020/3/6,3486,5667791
2020/3/7,4640,5746366
2020/3/8,4785,4455381
2020/3/9,3813,4375407
2020/3/10,2961,18944364
2020/3/11,2851,10948388
2020/3/12,3105,10023233
2020/3/13,3730,11168247
2020/3/14,4484,10008975
2020/3/15,4936,8354584
2020/3/16,3818,9173497
2020/3/17,3336,11245692
2020/3/18,3683,5874274
2020/3/19,3519,5126873
2020/3/20,3624,5381256
2020/3/21,4017,6103485
2020/3/22,4653,4667951
2020/3/23,4080,4779782
2020/3/24,3538,17010055
2020/3/25,3525,9879660
2020/3/26,3554,8333144
2020/3/27,3569,9006223
2020/3/28,4360,7207317
2020/3/29,4744,7156832
2020/3/30,4145,6292900
2020/3/31,3167,16012523
2020/4/1,3499,8127589
2020/4/2,3636,6716740
2020/4/3,3502,6268947
2020/4/4,3868,6196884
2020/4/5,4059,4896484
2020/4/6,3938,4495436
2020/4/7,2816,17555550
2020/4/8,2863,10066037
2020/4/9,3239,8604174
2020/4/10,3736,7858274
2020/4/11,3972,7753198
2020/4/12,3957,6350046
2020/4/13,3514,6651256
2020/4/14,3108,12865381
2020/4/15,3438,8993787
2020/4/16,3827,6966811
2020/4/17,3573,6952546
2020/4/18,3832,7185415
2020/4/19,4030,5488923
2020/4/20,3744,5874844
2020/4/21,2641,15503508
2020/4/22,2711,7982248
2020/4/23,2938,6667275
2020/4/24,3368,6574188
2020/4/25,3626,6143803
2020/4/26,3650,5211878
2020/4/27,3329,5344887
2020/4/28,2653,32043653
2020/4/29,3134,17222713
2020/4/30,3192,24098329
2020/5/1,3697,16206362
2020/5/2,3785,17287105
2020/5/3,3820,12498983
2020/5/4,3448,13464203
2020/5/5,3141,15181957
2020/5/6,2896,8113979
2020/5/7,2836,7245267
2020/5/8,3132,7453030
2020/5/9,1416,6782639
2020/5/10,632,5629128
2020/5/11,3044,5941077
2020/5/12,3016,20071419
2020/5/13,3661,11682580
2020/5/14,3349,8813772
2020/5/15,3127,9033800
2020/5/16,3772,8360827
2020/5/17,3824,7578195
2020/5/18,3463,7443976
2020/5/19,3265,16772339
2020/5/20,3291,9629804
2020/5/21,3699,8527861
2020/5/22,3588,7127265
2020/5/23,4348,7276386
2020/5/24,4142,5369564
2020/5/25,3821,5733529
2020/5/26,3444,19956490
2020/5/27,3459,15284890
2020/5/28,3671,13152205
2020/5/29,3373,12276081
2020/5/30,3848,16873631
2020/5/31,3656,9678834
2020/6/1,3237,13971924
2020/6/2,2605,15175744
2020/6/3,2917,7906710
2020/6/4,2985,7034768
2020/6/5,2957,7188355
2020/6/6,3561,7055838
2020/6/7,3935,5792937
2020/6/8,3474,6176767
2020/6/9,3018,19468893
2020/6/10,3479,10713920
2020/6/11,3544,9593088
2020/6/12,3421,9408363
2020/6/13,3709,8430805
2020/6/14,3719,7546513
2020/6/15,3235,8689909
2020/6/16,2719,9220173
2020/6/17,2537,8327330
2020/6/18,3271,6412036
2020/6/19,3252,5409940
2020/6/20,3459,5467902
2020/6/21,3677,4242838
2020/6/22,3522,4261872
2020/6/23,3409,20302086
2020/6/24,3607,11542050
2020/6/25,3695,10890583
2020/6/26,3779,10964030
2020/6/27,4440,9341552
2020/6/28,4174,7081283
2020/6/29,3945,13623930
2020/6/30,2934,13719401
2020/7/1,3168,9341538
2020/7/2,3154,7130818
2020/7/3,3531,6269033
2020/7/4,3895,6277517
2020/7/5,3822,5627336
2020/7/6,3408,6404206
2020/7/7,2908,19399902
2020/7/8,3181,10430276
2020/7/9,3335,9099089
2020/7/10,3414,8631499
2020/7/11,4132,8509217
2020/7/12,4103,6814816
2020/7/13,4255,8125806
2020/7/14,3743,11554997
2020/7/15,4188,6898675
2020/7/16,4303,5817005
2020/7/17,4164,5527214
2020/7/18,4479,4833940
2020/7/19,4710,3948960
2020/7/20,4015,4332610
2020/7/21,3850,11182781
2020/7/22,3939,5758363
2020/7/23,3521,5239179
2020/7/24,3673,5205275
2020/7/25,4028,5652544
2020/7/26,4505,4566200
